sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
5.8,4,1.2,0.2,setosa
6.7,3.3,5.7,2.5,virginica
5.2,4.1,1.5,0.1,setosa
6.7,3.1,4.4,1.4,versicolor
5.2,3.5,1.5,0.2,setosa
6.6,2.9,4.6,1.3,versicolor
5.5,2.5,4,1.3,versicolor
5.4,3,4.5,1.5,versicolor
6.4,2.9,4.3,1.3,versicolor
4.6,3.6,1,0.2,setosa
7.7,3,6.1,2.3,virginica
7.1,3,5.9,2.1,virginica
7.4,2.8,6.1,1.9,virginica
5.7,2.9,4.2,1.3,versicolor
5.7,2.6,3.5,1,versicolor
6.3,3.3,4.7,1.6,versicolor
5,2,3.5,1,versicolor
5,3.3,1.4,0.2,setosa
5.7,3,4.2,1.2,versicolor
5.5,2.6,4.4,1.2,versicolor
6.4,3.2,5.3,2.3,virginica
7.7,2.8,6.7,2,virginica
6.8,2.8,4.8,1.4,versicolor
5,3.4,1.5,0.2,setosa
5.4,3.9,1.3,0.4,setosa
4.4,3,1.3,0.2,setosa
5.6,2.9,3.6,1.3,versicolor
5.2,3.4,1.4,0.2,setosa
4.3,3,1.1,0.1,setosa
5.5,2.4,3.7,1,versicolor